Asset ID,Asset Type,Purchase Date,Lifecycle Status,Maintenance Cost,Replacement Cost
A146,Server,2023-04-02,Retired,3930.15,7781.43
A147,Server,2023-04-27,Retired,3541.28,6563.4
A148,Server,2021-06-01,In Maintenance,378.95,6488.15
A149,Desktop,2024-03-07,Active,1955.22,898.2
A150,Laptop,2022-03-02,In Maintenance,3904.53,5817.6
A151,Desktop,2022-12-27,In Maintenance,613.85,5317.11
A152,Printer,2021-12-24,Retired,4669.04,5836.45
A153,Printer,2023-07-26,In Maintenance,4949.23,4290.2
A154,Switch,2022-06-26,Active,2873.67,3073.66
A155,Laptop,2019-12-30,Retired,921.41,532.79
A156,Router,2020-07-27,Retired,3014.49,7346.15
A157,Printer,2019-11-15,Active,4452.05,5890.7
A158,Switch,2024-05-28,In Maintenance,2886.4,2187.51
A159,Desktop,2020-02-07,Retired,1190.0,9432.17
A160,Switch,2024-04-04,Retired,3378.3,9211.09
A161,Switch,2023-11-21,Disposed,3332.09,9575.83
A162,Laptop,2024-04-01,Retired,2958.57,8078.46
A163,Laptop,2021-09-30,Retired,3102.34,845.24
A164,Laptop,2023-04-13,Active,2236.72,1929.53
A165,Printer,2021-11-27,Disposed,2656.77,9747.13
A166,Printer,2022-10-11,Disposed,2572.21,9203.96
A167,Printer,2022-02-04,Disposed,2589.58,7608.8
A168,Laptop,2021-08-28,In Maintenance,3271.05,6347.12
A169,Desktop,2020-06-17,Retired,4263.35,2596.03
A170,Router,2023-04-23,Disposed,4571.7,6202.51
A171,Laptop,2019-09-23,Retired,271.82,4189.82
A172,Switch,2020-10-07,Disposed,2610.7,3336.46
A173,Printer,2023-08-05,Disposed,687.27,2714.43
A174,Switch,2022-10-04,Active,2377.22,2814.03
A175,Laptop,2023-07-12,Active,4820.47,5106.31
A176,Printer,2024-06-30,In Maintenance,2932.1,6334.11
A177,Switch,2019-11-24,In Maintenance,3878.02,9233.27
A178,Printer,2023-09-26,In Maintenance,936.17,3088.54
A179,Printer,2023-01-15,Disposed,4438.64,2807.23
A180,Switch,2019-10-09,Retired,4016.96,1090.05
A181,Desktop,2021-06-16,Retired,4113.56,2295.23
A182,Desktop,2022-11-30,In Maintenance,4455.67,5183.3
A183,Laptop,2021-10-11,Active,4386.92,6115.01
A184,Laptop,2023-08-19,Retired,1153.62,604.27
A185,Router,2023-09-19,Retired,1997.88,3404.7
A186,Router,2021-10-17,In Maintenance,4584.43,5155.0
A187,Laptop,2022-09-21,Disposed,1686.83,4015.05
A188,Router,2024-04-23,Disposed,2577.47,8656.25
A189,Desktop,2020-07-19,Disposed,3036.75,2072.08
A190,Desktop,2020-04-01,In Maintenance,3049.35,2163.86
A191,Router,2021-04-06,Retired,4641.28,3890.21
A192,Laptop,2019-09-19,Retired,1227.14,3635.32
A193,Switch,2021-07-18,Active,4223.01,5838.41
A194,Switch,2020-03-15,Active,4762.21,1057.29
A195,Switch,2020-11-24,Active,1129.45,7290.61
A196,Desktop,2023-11-24,In Maintenance,4070.64,4228.97
A197,Desktop,2020-05-31,In Maintenance,4204.11,8972.81
A198,Printer,2020-04-01,Active,4989.66,7458.36
A199,Desktop,2020-04-24,In Maintenance,223.28,2097.55
A200,Server,2021-07-04,Retired,121.35,5846.31
A201,Router,2021-07-13,Disposed,2293.56,2027.42
A202,Printer,2020-04-24,Retired,4354.85,6968.37
A203,Printer,2022-04-10,Active,2023.69,7377.58
A204,Router,2023-12-12,In Maintenance,2895.0,1410.14
A205,Laptop,2021-01-05,Disposed,774.05,1836.98
A206,Server,2022-10-23,In Maintenance,3077.94,2960.01
A207,Laptop,2023-11-12,In Maintenance,911.47,6329.0
A208,Switch,2021-12-14,Active,798.39,2660.32
A209,Printer,2023-07-09,Active,3910.04,5199.71
A210,Router,2019-10-30,Active,1623.17,3493.01
A211,Printer,2021-02-20,Active,304.5,9616.8
A212,Laptop,2019-08-19,Retired,2203.81,4305.67
A213,Router,2021-04-24,In Maintenance,3575.23,5492.99
A214,Printer,2023-02-26,Disposed,1645.69,8897.87
A215,Switch,2020-05-08,Disposed,4948.24,9047.85
A216,Router,2020-12-28,Disposed,3598.25,2780.16
A217,Laptop,2023-10-30,Retired,3088.65,514.6
A218,Server,2024-02-17,In Maintenance,1378.5,9783.8
A219,Router,2022-02-10,Disposed,2578.26,9317.93
A220,Server,2020-02-14,Retired,4195.37,2593.08
A221,Router,2019-07-14,Retired,1746.7,3325.35
A222,Printer,2021-05-15,Active,2356.06,8621.79
A223,Laptop,2023-07-13,Disposed,2888.64,9589.61
A224,Switch,2020-08-11,Retired,1005.46,9627.03
A225,Printer,2023-10-16,Active,2418.0,2952.2
A226,Router,2020-03-18,Disposed,3561.29,3770.16
A227,Switch,2022-05-10,Disposed,2648.03,2563.01
A228,Printer,2024-03-05,Retired,1072.91,3365.12
A229,Printer,2019-09-29,Retired,2258.94,2846.64
A230,Switch,2021-08-06,Disposed,4640.68,1588.29
A231,Printer,2022-11-03,Retired,2604.02,9907.39
A232,Server,2020-02-03,In Maintenance,827.56,5434.65
A233,Server,2019-08-13,Active,4117.74,7552.2
A234,Printer,2022-12-23,In Maintenance,747.25,2965.71
A235,Server,2020-08-31,Retired,809.17,2266.15
A236,Server,2022-12-31,Active,4706.87,1436.51
A237,Desktop,2023-02-06,Retired,539.43,7489.63
A238,Printer,2024-05-15,Disposed,3472.92,1403.01
A239,Switch,2021-04-22,In Maintenance,1088.48,6473.59
A240,Router,2022-03-08,In Maintenance,2199.37,2525.8
A241,Server,2020-10-25,Active,3409.28,913.12
A242,Desktop,2022-09-15,In Maintenance,4700.31,1135.73
A243,Router,2022-03-06,Retired,3642.61,5550.97
A244,Router,2023-05-17,Active,3826.2,7335.69
A245,Server,2021-07-08,Retired,1646.62,6972.6
A246,Laptop,2019-08-23,Disposed,269.73,1032.32
A247,Switch,2022-01-27,Retired,240.08,7345.67
A248,Server,2020-01-14,Retired,4311.02,8311.09
A249,Router,2023-01-12,In Maintenance,2975.84,8738.27
A250,Desktop,2019-12-30,In Maintenance,4330.96,9189.47
A251,Desktop,2022-09-30,In Maintenance,1852.31,1676.9
A252,Printer,2020-12-30,Disposed,4830.66,6796.98
A253,Printer,2021-08-14,Retired,2133.58,6931.49
A254,Printer,2024-05-14,In Maintenance,867.17,8213.22
A255,Router,2021-11-14,Active,1217.42,4211.88
A256,Desktop,2020-04-22,Retired,769.99,4723.24
A257,Printer,2020-02-11,Active,3148.7,9655.6
A258,Printer,2023-05-15,Disposed,2373.49,4707.26
A259,Router,2020-11-18,Retired,825.12,2943.52
A260,Switch,2024-05-29,Active,4936.2,8597.38
A261,Server,2020-12-03,In Maintenance,3509.02,7243.96
A262,Desktop,2022-01-24,In Maintenance,983.95,4235.99
A263,Server,2021-05-21,In Maintenance,4239.89,3853.75
A264,Switch,2022-06-15,Active,4433.76,881.28
A265,Router,2022-07-29,Retired,3287.84,6538.69
A266,Desktop,2021-08-10,Disposed,298.33,3535.76
A267,Desktop,2021-07-29,Disposed,1252.38,6704.61
A268,Switch,2020-04-09,Retired,3088.73,1915.77
A269,Desktop,2022-02-08,Retired,1252.56,4927.21
A270,Router,2021-06-16,In Maintenance,3878.2,6670.55
A271,Switch,2020-06-28,Retired,2428.84,2010.35
A272,Router,2021-07-02,In Maintenance,1637.84,1573.63
A273,Printer,2023-06-01,Active,999.59,6746.03
A274,Switch,2020-07-02,Active,4085.14,1906.86
A275,Desktop,2020-11-14,Disposed,1740.49,7260.95
A276,Printer,2021-10-03,Disposed,4606.6,3129.58
A277,Switch,2022-04-07,Disposed,4793.79,7349.71
A278,Server,2021-12-09,Active,2946.39,2166.11
A279,Laptop,2020-09-03,Disposed,1494.61,5137.12
A280,Router,2020-01-28,Active,677.42,9764.99
A281,Desktop,2022-05-15,Disposed,3363.51,9693.62
A282,Server,2023-12-11,Active,409.15,5340.42
A283,Laptop,2020-03-21,Disposed,727.9,8438.74
A284,Server,2021-11-23,Retired,3362.79,7130.23
A285,Router,2021-03-10,Active,2090.79,6082.29
A286,Router,2022-01-19,Retired,4007.17,3967.76
A287,Desktop,2021-06-10,In Maintenance,3179.82,1042.21
A288,Printer,2022-06-15,Disposed,4537.37,2284.68
A289,Server,2019-12-08,Disposed,1762.54,8421.69
A290,Switch,2024-06-29,Disposed,2831.25,7498.61
A291,Desktop,2021-03-29,In Maintenance,4789.57,7125.08
A292,Router,2020-05-01,Retired,4648.73,1844.75
A293,Desktop,2024-06-26,Active,4405.36,5422.86
A294,Desktop,2021-08-12,Retired,2550.72,2946.68
A295,Server,2021-11-11,In Maintenance,2180.7,1916.34
A296,Desktop,2022-04-07,Active,247.79,1945.42
A297,Desktop,2022-04-26,Retired,4025.51,7427.37
A298,Laptop,2022-07-17,Retired,1437.94,8245.57
A299,Server,2022-10-10,In Maintenance,3092.24,1692.8
A300,Desktop,2022-02-23,Active,3501.3,5466.86
A301,Router,2019-12-05,Active,601.83,3316.17
A302,Server,2021-11-24,In Maintenance,1990.82,3628.91
A303,Printer,2021-03-30,In Maintenance,1784.51,1954.47
A304,Server,2021-12-14,In Maintenance,4841.33,7214.29
A305,Server,2020-09-10,Disposed,2494.98,7352.41
A306,Switch,2023-11-26,Retired,1712.43,5828.99
A307,Server,2023-08-03,Active,4949.78,8775.56
A308,Laptop,2024-05-16,Retired,1883.87,8344.95
A309,Switch,2022-11-07,Retired,3619.3,1571.65
A310,Laptop,2020-05-04,In Maintenance,2251.83,1748.76
A311,Router,2022-10-28,In Maintenance,662.71,1579.19
A312,Printer,2024-04-08,In Maintenance,1558.09,7532.1
A313,Desktop,2019-09-17,Disposed,3359.92,4989.17
A314,Switch,2022-01-18,In Maintenance,3776.52,1098.87
A315,Laptop,2022-04-19,Disposed,3209.24,4244.74
A316,Router,2020-07-20,In Maintenance,1092.94,1209.13
A317,Printer,2019-10-24,Retired,4630.34,8805.5
A318,Router,2023-02-07,Retired,944.27,3633.8
A319,Desktop,2020-11-20,Disposed,1601.43,9068.28
A320,Printer,2022-02-15,Retired,4543.05,7458.71
A321,Switch,2023-12-16,Active,2576.04,9987.75
A322,Desktop,2020-01-05,Disposed,4997.17,921.75
A323,Desktop,2023-08-05,In Maintenance,2175.43,9123.05
A324,Printer,2021-06-29,Disposed,3264.34,9020.73
A325,Router,2022-02-17,Retired,2532.47,2687.8
A326,Server,2021-12-01,In Maintenance,3404.13,2921.49
A327,Switch,2021-07-26,Active,1364.82,1477.69
A328,Printer,2020-07-28,Disposed,283.9,7763.75
A329,Switch,2023-08-05,Retired,530.04,3944.21
A330,Router,2022-04-22,Retired,2319.43,4021.55
A331,Printer,2023-07-02,In Maintenance,4280.57,6692.92
A332,Switch,2021-06-28,Active,3497.63,5479.22
A333,Desktop,2022-05-24,Disposed,4192.21,2242.5
A334,Desktop,2024-01-12,In Maintenance,1983.67,5911.0
A335,Router,2024-06-16,Disposed,2003.86,7083.15
A336,Router,2020-02-18,In Maintenance,4479.87,8327.23
A337,Laptop,2020-03-29,Disposed,3812.26,3663.98
A338,Server,2020-11-14,Retired,4498.7,8451.82
A339,Switch,2023-07-11,Retired,4068.25,5815.58
A340,Laptop,2019-08-19,In Maintenance,1832.62,9196.05
A341,Router,2020-04-26,Disposed,3253.48,5480.55
A342,Laptop,2022-09-22,Retired,4620.45,6830.42
A343,Laptop,2020-07-08,Disposed,2802.68,1428.45
A344,Printer,2023-07-21,Active,1163.93,3680.61
A345,Laptop,2019-12-12,Retired,2742.66,6822.03
A346,Desktop,2021-06-28,Disposed,4527.58,7616.75
A347,Laptop,2022-01-24,Disposed,912.84,2344.05
A348,Switch,2019-08-23,Active,281.52,5619.95
A349,Switch,2020-08-24,Disposed,270.73,2895.17
A350,Printer,2020-10-15,Disposed,333.41,4520.8
A351,Printer,2020-09-26,Disposed,232.48,9828.84
A352,Server,2023-06-18,Retired,1928.26,4869.73
A353,Server,2023-03-07,Active,4906.14,6539.33
A354,Desktop,2023-06-29,Active,3879.78,6211.34
A355,Router,2021-10-20,Disposed,4358.25,4643.21
A356,Printer,2022-07-29,In Maintenance,1093.08,9475.04
A357,Printer,2023-09-27,Retired,3717.85,5244.4
A358,Desktop,2021-02-27,In Maintenance,499.8,6975.09
A359,Desktop,2023-08-17,In Maintenance,3177.77,2701.06
A360,Laptop,2020-07-01,In Maintenance,4393.39,8667.27
A361,Laptop,2020-08-19,Active,2824.94,4725.81
A362,Laptop,2019-07-25,Retired,3298.27,1459.36
A363,Laptop,2022-04-11,Active,3135.93,3085.97
A364,Printer,2021-10-27,Retired,1448.5,7177.11
A365,Laptop,2022-05-20,Disposed,1348.82,7656.39
A366,Switch,2020-07-09,Retired,4449.42,687.61
A367,Laptop,2020-08-28,Active,3280.61,4404.95
A368,Switch,2024-03-05,Active,1409.17,2026.16
A369,Router,2019-07-23,Retired,545.56,8171.96
A370,Router,2022-05-25,Retired,867.82,3325.29
A371,Printer,2023-10-13,Active,1390.65,9104.42
A372,Laptop,2021-05-28,Disposed,2226.28,8098.46
A373,Server,2023-09-06,Retired,2934.95,2454.04
A374,Switch,2021-01-21,Retired,3094.17,5021.15
A375,Laptop,2024-04-21,Disposed,4391.34,4480.73
A376,Switch,2021-05-06,Retired,3778.39,7358.4
A377,Router,2023-03-19,Retired,2862.84,1923.41
A378,Router,2022-08-09,In Maintenance,193.32,5485.24
A379,Server,2021-04-14,Active,4878.91,9913.18
A380,Desktop,2024-02-04,Active,2856.97,9483.16
A381,Laptop,2020-04-24,Retired,2076.74,1165.5
A382,Desktop,2024-04-04,Retired,4586.32,749.2
A383,Switch,2021-12-16,Disposed,4680.8,9418.33
A384,Laptop,2022-04-19,Active,4220.2,3665.81
A385,Server,2019-09-21,In Maintenance,4457.7,2565.27
A386,Printer,2020-10-05,In Maintenance,3549.56,4426.87
A387,Switch,2021-12-06,Retired,3098.13,3032.19
A388,Router,2022-05-24,In Maintenance,491.59,3579.88
A389,Laptop,2023-01-07,Disposed,3299.5,4002.65
A390,Printer,2024-04-09,Disposed,4324.09,1530.83
A391,Desktop,2020-02-20,Disposed,4689.41,4968.1
A392,Switch,2022-02-12,In Maintenance,2130.81,9892.05
A393,Laptop,2020-12-02,Active,2582.51,2912.92
A394,Desktop,2022-02-09,Active,4252.53,3531.05
A395,Desktop,2022-01-22,Active,783.68,2071.65
A396,Server,2019-08-16,Active,3640.06,7009.77
A397,Printer,2023-02-23,In Maintenance,1245.55,6408.05
A398,Router,2019-08-11,Active,3875.37,4326.8
A399,Printer,2022-09-03,Active,4454.96,5508.27
A400,Laptop,2022-06-08,Active,3850.35,5295.22
A401,Server,2020-04-03,In Maintenance,3295.78,3154.44
A402,Laptop,2023-07-08,Disposed,2689.93,8176.83
A403,Switch,2023-12-08,Retired,938.8,7946.91
A404,Laptop,2021-01-28,Retired,3822.9,738.91
A405,Desktop,2024-03-08,Retired,4204.37,7197.31
A406,Switch,2020-12-20,Retired,1167.33,5055.1
A407,Desktop,2024-02-04,In Maintenance,3307.73,7672.24
A408,Desktop,2020-04-25,Disposed,4009.19,4852.29
A409,Printer,2022-04-28,Active,2654.3,4468.16
A410,Desktop,2021-06-12,Retired,3190.13,7680.68
A411,Server,2024-01-05,Retired,156.3,3694.97
A412,Router,2022-06-15,Disposed,3268.76,6530.14
A413,Router,2020-09-19,Active,4616.66,2260.97
A414,Laptop,2021-08-25,In Maintenance,284.75,7020.78
A415,Desktop,2023-10-02,Retired,3632.74,3700.51
A416,Router,2022-09-16,In Maintenance,1907.05,7713.17
A417,Server,2023-09-05,Disposed,513.35,2973.77
A418,Server,2022-03-31,In Maintenance,3202.66,8386.95
A419,Printer,2022-11-18,Active,3290.04,6654.25
A420,Laptop,2020-05-08,Retired,3237.19,1024.56
A421,Printer,2023-11-13,Active,4635.56,7985.02
A422,Printer,2024-06-10,In Maintenance,170.37,8309.01
A423,Switch,2022-01-22,Retired,3103.63,8580.69
A424,Desktop,2020-07-29,Active,1112.58,6918.24
A425,Server,2020-02-11,Active,2348.65,5737.5
A426,Printer,2021-12-02,Retired,770.94,2927.95
A427,Server,2022-05-13,Active,353.53,920.67
A428,Printer,2019-09-17,Disposed,3797.47,9603.86
A429,Router,2023-02-16,Retired,3080.33,1292.35
A430,Desktop,2020-11-20,Retired,1715.85,9427.38
A431,Switch,2022-02-03,Active,4448.29,6206.92
A432,Router,2023-07-21,Active,2916.2,7515.37
A433,Printer,2023-10-01,Disposed,4189.16,7220.24
A434,Router,2022-02-08,In Maintenance,3896.04,4654.05
A435,Laptop,2021-06-28,In Maintenance,1330.05,4909.8
A436,Desktop,2024-04-22,Disposed,1232.96,6286.91
A437,Printer,2024-05-15,In Maintenance,4485.62,7130.27
A438,Laptop,2023-04-16,Active,1209.92,7546.54
A439,Router,2023-07-21,Active,1757.5,9571.71
A440,Router,2021-01-15,Retired,2202.17,6633.36
A441,Server,2019-12-08,In Maintenance,3649.95,649.98
A442,Desktop,2021-05-08,In Maintenance,4761.7,7267.63
A443,Switch,2019-12-19,In Maintenance,4324.21,9323.57
A444,Laptop,2021-12-20,In Maintenance,299.73,4000.56
A445,Server,2023-08-04,Retired,2702.21,2873.22
A446,Desktop,2023-10-04,Retired,3139.88,7173.64
A447,Laptop,2023-12-01,In Maintenance,3093.06,8058.47
A448,Server,2024-04-05,Active,4040.08,8946.66
A449,Server,2022-11-17,Active,1642.06,9471.34
A450,Server,2023-12-24,Disposed,4369.51,5653.0
A451,Printer,2019-12-08,Active,3365.23,1854.58
A452,Server,2019-10-12,In Maintenance,832.29,7375.13
A453,Router,2021-09-01,Retired,3264.65,4738.53
A454,Router,2020-04-22,Retired,1921.16,9820.5
A455,Printer,2023-12-30,Active,3885.45,5244.84
A456,Router,2022-05-05,Retired,799.71,1567.7
A457,Laptop,2020-04-09,Disposed,3951.43,539.2
A458,Server,2022-06-16,Disposed,872.34,5523.08
A459,Switch,2021-01-29,Retired,1620.0,6150.91
A460,Router,2024-01-22,Retired,4567.86,4054.58
A461,Desktop,2021-11-24,Active,2627.58,5703.69
A462,Laptop,2023-05-01,Disposed,3318.13,840.45
A463,Printer,2023-11-06,Disposed,1286.94,5916.79
A464,Switch,2021-09-21,Retired,4283.69,9972.35
A465,Laptop,2019-10-26,Disposed,3978.53,7786.58
A466,Router,2019-12-21,Active,2036.73,2520.69
A467,Switch,2020-04-04,In Maintenance,3845.3,884.31
A468,Desktop,2024-01-01,Disposed,4864.1,3589.88
A469,Server,2022-12-11,Retired,585.32,1916.66
A470,Laptop,2020-03-13,Disposed,4403.75,3326.16
A471,Printer,2023-12-01,In Maintenance,4744.43,6108.18
A472,Switch,2022-11-23,Retired,153.88,3160.18
A473,Router,2023-10-12,Active,1378.42,4346.07
A474,Server,2022-03-05,In Maintenance,2900.91,7159.18
A475,Laptop,2023-11-16,In Maintenance,141.89,7898.45
A476,Switch,2023-02-22,Retired,911.09,9722.28
A477,Server,2022-12-11,In Maintenance,4787.82,7212.16
A478,Router,2021-05-07,Active,3114.96,1291.02
A479,Laptop,2021-04-01,In Maintenance,1420.03,1473.55
A480,Switch,2020-06-27,Disposed,3152.44,2975.9
A481,Router,2021-12-29,Disposed,1007.86,959.44
A482,Router,2021-02-19,Disposed,3986.35,6064.53
A483,Switch,2022-08-14,In Maintenance,4450.61,7927.23
A484,Router,2024-05-14,Disposed,4369.71,7788.8
A485,Printer,2020-12-01,In Maintenance,1216.85,2697.32
A486,Printer,2023-09-28,Retired,3014.56,9422.84
A487,Printer,2022-10-03,Retired,731.37,4556.31
A488,Laptop,2020-07-13,Retired,4663.19,7867.63
